epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1969.64,1.02059,4.44418,1.32805,0.0053,0.85008,0.17751,0.15633,0.87059,4.17529,1.10226,0.000203252,0.000203252,0.000203252
2,2995.38,1.06881,3.57902,1.30831,0.85745,0.1254,0.30493,0.2498,0.98693,3.69926,1.23464,0.000403436,0.000403436,0.000403436
3,3867.56,1.01154,3.07846,1.22832,0.30704,0.56673,0.29719,0.20602,1.15641,3.91469,1.30503,0.00059537,0.00059537,0.00059537
4,4570.5,1.0017,3.00208,1.20168,0.48046,0.39991,0.29873,0.20974,1.1859,4.1065,1.32615,0.000587875,0.000587875,0.000587875
5,5178.47,1.03632,2.8665,1.22471,0.74208,0.36266,0.39653,0.29788,1.03961,3.03613,1.20754,0.0005755,0.0005755,0.0005755
6,5968.57,1.01045,2.5985,1.20533,0.40391,0.47538,0.36919,0.28856,1.03032,3.03603,1.19808,0.000563125,0.000563125,0.000563125
7,6591.97,0.96016,2.41049,1.17738,0.75232,0.37188,0.44886,0.35333,1.01594,2.89678,1.23735,0.00055075,0.00055075,0.00055075
8,7573.25,0.98213,2.1997,1.20204,0.45514,0.46636,0.40643,0.32455,0.99466,3.12857,1.16492,0.000538375,0.000538375,0.000538375
9,8168.34,0.9263,2.02312,1.15539,0.73583,0.39687,0.43328,0.32999,0.99298,2.80643,1.14444,0.000526,0.000526,0.000526
10,8910.71,0.93769,2.16781,1.17657,0.55014,0.42846,0.42767,0.34675,0.93237,3.00893,1.13247,0.000513625,0.000513625,0.000513625
11,9736.2,0.89289,1.94514,1.13157,0.45433,0.53713,0.4645,0.36667,0.96739,2.55054,1.1258,0.00050125,0.00050125,0.00050125
12,10594,0.89021,1.92657,1.12336,0.71072,0.41561,0.52852,0.4322,0.99619,2.46533,1.18997,0.000488875,0.000488875,0.000488875
13,11638.9,0.82038,1.71664,1.09383,0.64369,0.43256,0.47448,0.40298,1.01042,2.47328,1.17077,0.0004765,0.0004765,0.0004765
14,12593.9,0.87139,1.81744,1.12504,0.41906,0.56938,0.54009,0.46376,0.94616,2.59011,1.13875,0.000464125,0.000464125,0.000464125
15,13390.3,0.87867,1.67137,1.12833,0.68054,0.43965,0.45708,0.36789,0.98183,2.63746,1.14616,0.00045175,0.00045175,0.00045175
16,14115.6,0.79994,1.52212,1.06758,0.50676,0.46995,0.47457,0.38395,1.05228,2.54483,1.1888,0.000439375,0.000439375,0.000439375
17,14732.5,0.8455,1.53515,1.1078,0.39196,0.63866,0.54164,0.43201,0.99489,2.34493,1.16727,0.000427,0.000427,0.000427
18,15338.3,0.81395,1.49023,1.08711,0.46111,0.43505,0.39547,0.32705,1.02347,2.60152,1.19617,0.000414625,0.000414625,0.000414625
19,15927.2,0.80944,1.44589,1.07095,0.58869,0.57193,0.50626,0.41512,0.95451,2.36861,1.16538,0.00040225,0.00040225,0.00040225
20,16488.1,0.80755,1.35872,1.0894,0.53747,0.63714,0.58132,0.48621,1.01987,2.13495,1.19552,0.000389875,0.000389875,0.000389875
21,17072.8,0.7661,1.26756,1.05043,0.42495,0.58766,0.5153,0.44022,0.93373,2.35697,1.12461,0.0003775,0.0003775,0.0003775
22,17848.9,0.75067,1.26756,1.04299,0.55245,0.528,0.57534,0.47359,0.98518,2.31288,1.13986,0.000365125,0.000365125,0.000365125
23,18738.4,0.70509,1.20432,1.01681,0.43501,0.67339,0.5235,0.43439,0.99681,2.30154,1.17195,0.00035275,0.00035275,0.00035275
24,19623.8,0.72025,1.23168,1.03794,0.50419,0.48559,0.44427,0.37161,0.98841,2.59379,1.15153,0.000340375,0.000340375,0.000340375
25,20493.4,0.7198,1.15689,1.02999,0.55917,0.53992,0.48078,0.40709,0.9493,2.39701,1.14727,0.000328,0.000328,0.000328
26,21054.6,0.71549,1.10005,1.03375,0.50611,0.52924,0.48641,0.41387,0.97207,2.43631,1.16885,0.000315625,0.000315625,0.000315625
27,21612.1,0.67023,1.03896,1.00233,0.6987,0.37078,0.52059,0.43781,0.95333,2.54453,1.13935,0.00030325,0.00030325,0.00030325
28,22189.2,0.71426,1.10115,1.03357,0.64784,0.55226,0.55156,0.47017,0.97817,2.08898,1.19168,0.000290875,0.000290875,0.000290875
29,22766.4,0.68974,1.03896,1.02454,0.42601,0.60265,0.52051,0.42284,1.00164,2.32876,1.19463,0.0002785,0.0002785,0.0002785
30,23361.1,0.65251,0.96916,0.99189,0.65877,0.64466,0.56898,0.452,0.98272,2.37637,1.18261,0.000266125,0.000266125,0.000266125
